semaforo_id,delay,waiting_time,stops,flujo_vehicular,flujo_por_segundo,queue_length
308856103,45.02156218036875,2.833641404805915,2.163277880468269,1623,2.02875,0.46625
308856146,38.059263337154285,7.429674572531716,1.9189189189189189,1813,2.26625,1.7925
308856152,57.27023211084919,1.6342105263157896,2.230409356725146,3420,4.275,1.01375
308898675,31.535852533797094,2.4634540750323417,2.258732212160414,3092,3.865,1.27375
308903645,33.9723927371983,0.42391175424030364,1.6489147194876053,8431,10.53875,0.5325
308903696,10.25129251164166,0.06279434850863422,1.1365777080062793,1274,1.5925,0.03
308903738,34.62250955048802,0.4339622641509434,1.7800910865322055,3074,3.8425,0.2625
309520858,30.67070458449656,1.8524650818610675,1.6395338081583573,10811,13.51375,2.22125
cluster_1462970241_308898721,21.098342621266045,0.26268041237113404,1.7282474226804123,2425,3.03125,0.40625
cluster_1871526593_309440289,32.5307233514474,0.642085187539733,2.0642085187539734,1573,1.96625,0.64875
cluster_1871526625_309497170,24.295089037555297,0.008590394377196407,1.582194455290902,2561,3.20125,0.00375
cluster_308848908_308848911,46.26674983807812,0.9933155080213903,1.9543343653250773,14212,17.765,3.855
cluster_308848959_308848960,60.13887785933209,1.2017789072426939,2.5561626429479034,7870,9.8375,2.825
cluster_308855797_308855800,44.779327257829586,0.9126999421853922,2.0075158990171516,10378,12.9725,1.99875
cluster_308858575_308858577_6427986507_6427986508,26.72527084174835,0.4008915612689198,1.5666597553390007,9646,12.0575,2.1175
cluster_308858579_308898722,22.201827986110395,0.9375494071146245,1.4050065876152833,3795,4.74375,0.71875
cluster_308903754_312989481,33.28850610956833,0.7044366421959783,1.6546441110756462,3133,3.91625,0.305
cluster_309440717_309440722_309440724_309440726,30.259037443717418,0.9496076001652209,1.6499380421313508,4842,6.0525,2.0575
cluster_309481112_309481115,54.87956645571756,0.9677720691265763,2.3031293787949556,6423,8.02875,1.77875
cluster_309481119_4121911213,64.66612936638916,3.0520388349514564,2.6899029126213594,5150,6.4375,3.5625
cluster_309481227_4121496204,70.55313712330377,2.648733078792086,3.1441629063982415,8643,10.80375,10.55
cluster_4121496202_4121496203,53.53567644803345,2.2671667628390075,2.412386997499519,5199,6.49875,1.27625
