tipo,step,veh_id,semaforo_id,delay,waiting_time,stops,pos_x,pos_y,speed,queue_length
vehiculo,0,truck0,cluster_1871526625_309497170,0.0,0.0,0.0,11.650612777053455,1242.3209908735332,14.420598,
vehiculo,0,veh0,308856103,0.0,0.0,1.0,2341.640081081081,1197.0478783783785,0.0,
semaforo,0,,308856103,,,,,,,0.0
semaforo,0,,308856146,,,,,,,0.0
semaforo,0,,308856152,,,,,,,0.0
semaforo,0,,308898675,,,,,,,0.0
semaforo,0,,308903645,,,,,,,0.0
semaforo,0,,308903696,,,,,,,0.0
semaforo,0,,308903738,,,,,,,0.0
semaforo,0,,309520858,,,,,,,0.0
semaforo,0,,cluster_1462970241_308898721,,,,,,,0.0
semaforo,0,,cluster_1871526593_309440289,,,,,,,0.0
semaforo,0,,cluster_1871526625_309497170,,,,,,,0.0
semaforo,0,,cluster_308848908_308848911,,,,,,,0.0
semaforo,0,,cluster_308848959_308848960,,,,,,,0.0
semaforo,0,,cluster_308855797_308855800,,,,,,,0.0
semaforo,0,,cluster_308858575_308858577_6427986507_6427986508,,,,,,,0.0
semaforo,0,,cluster_308858579_308898722,,,,,,,0.0
semaforo,0,,cluster_308903754_312989481,,,,,,,0.0
semaforo,0,,cluster_309440717_309440722_309440724_309440726,,,,,,,0.0
semaforo,0,,cluster_309481112_309481115,,,,,,,0.0
semaforo,0,,cluster_309481119_4121911213,,,,,,,0.0
semaforo,0,,cluster_309481227_4121496204,,,,,,,0.0
semaforo,0,,cluster_4121496202_4121496203,,,,,,,0.0
vehiculo,1,truck0,cluster_1871526625_309497170,0.020618275586153256,0.0,0.0,16.9284254274086,1229.2196783546403,14.12327013631887,
vehiculo,1,veh0,308856103,0.8820125180930012,0.0,1.0,2343.143573353154,1197.3793291380534,1.5396959332050757,
semaforo,1,,308856103,,,,,,,0.0
semaforo,1,,308856146,,,,,,,0.0
semaforo,1,,308856152,,,,,,,0.0
semaforo,1,,308898675,,,,,,,0.0
semaforo,1,,308903645,,,,,,,0.0
semaforo,1,,308903696,,,,,,,0.0
semaforo,1,,308903738,,,,,,,0.0
semaforo,1,,309520858,,,,,,,0.0
semaforo,1,,cluster_1462970241_308898721,,,,,,,0.0
semaforo,1,,cluster_1871526593_309440289,,,,,,,0.0
semaforo,1,,cluster_1871526625_309497170,,,,,,,0.0
semaforo,1,,cluster_308848908_308848911,,,,,,,0.0
semaforo,1,,cluster_308848959_308848960,,,,,,,0.0
semaforo,1,,cluster_308855797_308855800,,,,,,,0.0
semaforo,1,,cluster_308858575_308858577_6427986507_6427986508,,,,,,,0.0
semaforo,1,,cluster_308858579_308898722,,,,,,,0.0
semaforo,1,,cluster_308903754_312989481,,,,,,,0.0
semaforo,1,,cluster_309440717_309440722_309440724_309440726,,,,,,,0.0
semaforo,1,,cluster_309481112_309481115,,,,,,,0.0
semaforo,1,,cluster_309481119_4121911213,,,,,,,0.0
semaforo,1,,cluster_309481227_4121496204,,,,,,,0.0
semaforo,1,,cluster_4121496202_4121496203,,,,,,,0.0
vehiculo,2,truck0,cluster_1871526625_309497170,0.0351720646803817,0.0,0.0,22.23891912819293,1216.0372404371242,14.210723658095349,
vehiculo,2,veh0,308856103,1.6018461766904468,0.0,1.0,2346.713680303362,1198.1663731972399,3.6560740979155524,
semaforo,2,,308856103,,,,,,,0.0
semaforo,2,,308856146,,,,,,,0.0
semaforo,2,,308856152,,,,,,,0.0
semaforo,2,,308898675,,,,,,,0.0
semaforo,2,,308903645,,,,,,,0.0
semaforo,2,,308903696,,,,,,,0.0
semaforo,2,,308903738,,,,,,,0.0
semaforo,2,,309520858,,,,,,,0.0
semaforo,2,,cluster_1462970241_308898721,,,,,,,0.0
semaforo,2,,cluster_1871526593_309440289,,,,,,,0.0
semaforo,2,,cluster_1871526625_309497170,,,,,,,0.0
semaforo,2,,cluster_308848908_308848911,,,,,,,0.0
semaforo,2,,cluster_308848959_308848960,,,,,,,0.0
semaforo,2,,cluster_308855797_308855800,,,,,,,0.0
semaforo,2,,cluster_308858575_308858577_6427986507_6427986508,,,,,,,0.0
semaforo,2,,cluster_308858579_308898722,,,,,,,0.0
semaforo,2,,cluster_308903754_312989481,,,,,,,0.0
semaforo,2,,cluster_309440717_309440722_309440724_309440726,,,,,,,0.0
semaforo,2,,cluster_309481112_309481115,,,,,,,0.0
semaforo,2,,cluster_309481119_4121911213,,,,,,,0.0
semaforo,2,,cluster_309481227_4121496204,,,,,,,0.0
semaforo,2,,cluster_4121496202_4121496203,,,,,,,0.0
vehiculo,3,truck0,cluster_1871526625_309497170,0.05428148872171201,0.0,0.0,27.524862863264342,1202.9157438213253,14.14502867788845,
vehiculo,3,veh0,308856103,2.2128797073946567,0.0,1.0,2351.6702068028653,1199.25905887586,5.0758782308781525,
vehiculo,3,veh2,cluster_1871526593_309440289,0.0,0.0,1.0,81.70137266528313,816.8375155647791,0.0,
semaforo,3,,308856103,,,,,,,0.0
semaforo,3,,308856146,,,,,,,0.0
semaforo,3,,308856152,,,,,,,0.0
semaforo,3,,308898675,,,,,,,0.0
semaforo,3,,308903645,,,,,,,0.0
semaforo,3,,308903696,,,,,,,0.0
semaforo,3,,308903738,,,,,,,0.0
semaforo,3,,309520858,,,,,,,0.0
semaforo,3,,cluster_1462970241_308898721,,,,,,,0.0
semaforo,3,,cluster_1871526593_309440289,,,,,,,0.0
semaforo,3,,cluster_1871526625_309497170,,,,,,,0.0
semaforo,3,,cluster_308848908_308848911,,,,,,,0.0
semaforo,3,,cluster_308848959_308848960,,,,,,,0.0
semaforo,3,,cluster_308855797_308855800,,,,,,,0.0
semaforo,3,,cluster_308858575_308858577_6427986507_6427986508,,,,,,,0.0
semaforo,3,,cluster_308858579_308898722,,,,,,,0.0
semaforo,3,,cluster_308903754_312989481,,,,,,,0.0
semaforo,3,,cluster_309440717_309440722_309440724_309440726,,,,,,,3.0
semaforo,3,,cluster_309481112_309481115,,,,,,,0.0
semaforo,3,,cluster_309481119_4121911213,,,,,,,0.0
semaforo,3,,cluster_309481227_4121496204,,,,,,,0.0
semaforo,3,,cluster_4121496202_4121496203,,,,,,,0.0
vehiculo,4,truck0,cluster_1871526625_309497170,0.06684742855196468,0.0,0.0,32.831724819805935,1189.702413382695,14.239389633215733,
vehiculo,4,truck1,cluster_308858579_308898722,0.0,0.0,1.0,1848.8264239265218,1487.2017174638318,0.0,
vehiculo,4,veh0,308856103,2.6298079478249625,0.0,1.0,2359.1001804781067,1200.8970256714122,7.60888530262746,
vehiculo,4,veh2,cluster_1871526593_309440289,0.958342307770697,0.0,1.0,82.41284339048998,815.6895695407375,1.3481970540015027,
vehiculo,4,veh3,cluster_309481227_4121496204,0.0,0.0,1.0,340.1116908656497,565.1567138393679,0.0,
semaforo,4,,308856103,,,,,,,0.0
semaforo,4,,308856146,,,,,,,0.0
semaforo,4,,308856152,,,,,,,0.0
semaforo,4,,308898675,,,,,,,0.0
semaforo,4,,308903645,,,,,,,0.0
semaforo,4,,308903696,,,,,,,0.0
semaforo,4,,308903738,,,,,,,0.0
semaforo,4,,309520858,,,,,,,0.0
semaforo,4,,cluster_1462970241_308898721,,,,,,,0.0
semaforo,4,,cluster_1871526593_309440289,,,,,,,0.0
semaforo,4,,cluster_1871526625_309497170,,,,,,,0.0
semaforo,4,,cluster_308848908_308848911,,,,,,,0.0
semaforo,4,,cluster_308848959_308848960,,,,,,,0.0
semaforo,4,,cluster_308855797_308855800,,,,,,,0.0
semaforo,4,,cluster_308858575_308858577_6427986507_6427986508,,,,,,,0.0
semaforo,4,,cluster_308858579_308898722,,,,,,,0.0
semaforo,4,,cluster_308903754_312989481,,,,,,,0.0
semaforo,4,,cluster_309440717_309440722_309440724_309440726,,,,,,,0.0
semaforo,4,,cluster_309481112_309481115,,,,,,,0.0
semaforo,4,,cluster_309481119_4121911213,,,,,,,0.0
semaforo,4,,cluster_309481227_4121496204,,,,,,,0.0
semaforo,4,,cluster_4121496202_4121496203,,,,,,,0.0
vehiculo,5,truck0,cluster_1871526625_309497170,0.11116196084031493,0.0,0.0,37.89288504297124,1176.8892571722038,13.781555944311668,
vehiculo,5,truck1,cluster_308858579_308898722,0.9498070073495315,0.0,1.0,1847.9765155438456,1487.399131089197,0.8384742935770191,
vehiculo,5,veh0,308856103,2.9163134903456482,0.0,1.0,2368.1921060421473,1202.90137626974,9.310856514517218,
vehiculo,5,veh2,cluster_1871526593_309440289,1.8742114201162483,0.0,1.0,83.84971280040175,813.371204964745,2.7227868087822573,
vehiculo,5,veh3,cluster_309481227_4121496204,0.9427624726903447,0.0,1.0,341.36930540029766,565.8929111042203,1.4571296173380688,
vehiculo,5,veh4,cluster_308848908_308848911,0.0,0.0,0.0,997.7230272066347,395.57734466737963,13.073,
semaforo,5,,308856103,,,,,,,0.0
semaforo,5,,308856146,,,,,,,0.0
semaforo,5,,308856152,,,,,,,0.0
semaforo,5,,308898675,,,,,,,0.0
semaforo,5,,308903645,,,,,,,0.0
semaforo,5,,308903696,,,,,,,0.0
semaforo,5,,308903738,,,,,,,0.0
semaforo,5,,309520858,,,,,,,0.0
semaforo,5,,cluster_1462970241_308898721,,,,,,,0.0
semaforo,5,,cluster_1871526593_309440289,,,,,,,0.0
semaforo,5,,cluster_1871526625_309497170,,,,,,,0.0
semaforo,5,,cluster_308848908_308848911,,,,,,,0.0
semaforo,5,,cluster_308848959_308848960,,,,,,,0.0
semaforo,5,,cluster_308855797_308855800,,,,,,,0.0
semaforo,5,,cluster_308858575_308858577_6427986507_6427986508,,,,,,,0.0
semaforo,5,,cluster_308858579_308898722,,,,,,,0.0
semaforo,5,,cluster_308903754_312989481,,,,,,,0.0
semaforo,5,,cluster_309440717_309440722_309440724_309440726,,,,,,,0.0
semaforo,5,,cluster_309481112_309481115,,,,,,,0.0
semaforo,5,,cluster_309481119_4121911213,,,,,,,0.0
semaforo,5,,cluster_309481227_4121496204,,,,,,,0.0
semaforo,5,,cluster_4121496202_4121496203,,,,,,,0.0
vehiculo,6,truck0,cluster_1871526625_309497170,0.15506860393973376,0.0,0.0,42.88929532119293,1164.0382041133673,13.787437950333816,
vehiculo,6,truck1,cluster_308858579_308898722,1.8515781114996832,0.0,1.0,1846.313224363238,1487.78547431006,1.6409143927739933,
vehiculo,6,veh0,308856103,3.0518791909709884,0.0,1.0,2379.207429598667,1205.3297474883307,11.280569377006032,
vehiculo,6,veh2,cluster_309440717_309440722_309440724_309440726,2.7461053519177145,0.0,1.0,86.03763326279585,809.8410321737362,4.145986359356903,
vehiculo,6,veh3,cluster_309481227_4121496204,1.8199601328969282,0.0,1.0,344.0675003551123,567.4724123671643,3.1262518631061536,
vehiculo,6,veh4,cluster_308848908_308848911,0.047086639967711896,0.0,0.0,1008.3445684923271,400.86139671580764,12.566226662363546,
semaforo,6,,308856103,,,,,,,0.0
semaforo,6,,308856146,,,,,,,0.0
semaforo,6,,308856152,,,,,,,0.0
semaforo,6,,308898675,,,,,,,0.0
