semaforo_id,delay,waiting_time,stops,flujo_vehicular,flujo_por_segundo,queue_length
308856103,30.375660717342267,1.2328863796753704,2.0571630204657727,1417,1.77125,0.24875
308856146,35.41085265827812,5.152411575562701,1.960128617363344,1555,1.94375,1.2375
308856152,61.87434608076932,4.291687283523008,2.4151410192973777,4042,5.0525,1.795
308898675,24.820339320538714,3.7735542560103963,2.0873944119558154,3078,3.8475,1.30125
308903645,35.48187150277315,0.5784974717071996,1.563327714904888,8306,10.3825,0.5075
308903696,9.523085941824494,0.0125,0.98046875,1280,1.6,0.0075
308903738,35.83612670389796,0.032107023411371234,1.720066889632107,2990,3.7375,0.0475
309520858,31.71830404894998,2.285740318906606,1.7338496583143508,10975,13.71875,2.70125
cluster_1462970241_308898721,21.48765360830855,0.24884599244649602,1.8715904322282837,2383,2.97875,0.3775
cluster_1871526593_309440289,28.39993834757918,0.4653586756591048,2.0582464745554874,1631,2.03875,0.57875
cluster_1871526625_309497170,22.451597370101904,0.059334845049130766,1.4557823129251701,2646,3.3075,0.01
cluster_308848908_308848911,46.643620164067265,0.9627026251613828,1.9511547841055803,13942,17.4275,3.0175
cluster_308848959_308848960,58.05773469972725,1.2709466811751904,2.4877282069882725,8271,10.33875,3.155
cluster_308855797_308855800,47.44801115972424,1.0806691775422614,2.170359989489358,11417,14.27125,2.8025
cluster_308858575_308858577_6427986507_6427986508,28.388855331338497,0.42213804713804715,1.638047138047138,9504,11.88,2.25375
cluster_308858579_308898722,23.08216852578465,1.1764705882352942,1.459846547314578,3910,4.8875,1.0625
cluster_308903754_312989481,35.136843848286155,0.6848804719031357,1.6808444582427817,3221,4.02625,0.31
cluster_309440717_309440722_309440724_309440726,27.969231009534077,0.8736908253037285,1.6608713866778384,4774,5.9675,1.87375
cluster_309481112_309481115,56.114166392542884,1.064740891275947,2.280156771664973,6889,8.61125,2.26125
cluster_309481119_4121911213,73.03084898633304,3.938146136323813,2.9402488172419834,5707,7.13375,4.9125
cluster_309481227_4121496204,68.63244710837165,1.979765088963833,3.0830329108035817,8599,10.74875,8.88625
cluster_4121496202_4121496203,47.510069202262926,1.5638933121019107,2.2221337579617835,5024,6.28,1.15625
