tipo,step,veh_id,semaforo_id,delay,waiting_time,stops,pos_x,pos_y,speed,queue_length
vehiculo,0,truck0,cluster_307862891_307862894_307862896_307862898,0.0,0.0,0.0,74.71874195854183,792.8614152966405,14.389750000000001,
vehiculo,0,veh0,cluster_307862891_307862894_307862896_307862898,0.0,0.0,1.0,133.54077093167143,677.4018280667501,0.0,
semaforo,0,,cluster_1520634082_307862705,,,,,,,0.0
semaforo,0,,cluster_307862891_307862894_307862896_307862898,,,,,,,0.0
semaforo,0,,cluster_3701043284_4151921021,,,,,,,0.0
semaforo,0,,cluster_4152158088_4152159489_9467311858,,,,,,,0.0
vehiculo,1,truck0,cluster_307862891_307862894_307862896_307862898,0.46794898544184926,0.0,0.0,64.05021598513935,782.1643492766339,15.111457633356563,
vehiculo,1,veh0,cluster_307862891_307862894_307862896_307862898,0.9025915545321996,0.0,1.0,132.126374278698,677.5812624147774,1.425794885493815,
semaforo,1,,cluster_1520634082_307862705,,,,,,,0.0
semaforo,1,,cluster_307862891_307862894_307862896_307862898,,,,,,,0.0
semaforo,1,,cluster_3701043284_4151921021,,,,,,,0.0
semaforo,1,,cluster_4152158088_4152159489_9467311858,,,,,,,0.0
vehiculo,2,truck0,cluster_307862891_307862894_307862896_307862898,1.0721079002072982,0.0,0.0,55.79149799283647,774.5400076220665,11.242786171606896,
vehiculo,2,veh0,cluster_307862891_307862894_307862896_307862898,1.713336780155187,0.0,1.0,129.37834439122202,677.9298852358098,2.7701755024027075,
semaforo,2,,cluster_1520634082_307862705,,,,,,,0.0
semaforo,2,,cluster_307862891_307862894_307862896_307862898,,,,,,,0.0
semaforo,2,,cluster_3701043284_4151921021,,,,,,,0.0
semaforo,2,,cluster_4152158088_4152159489_9467311858,,,,,,,0.0
vehiculo,3,truck0,cluster_307862891_307862894_307862896_307862898,0.6024794643238236,0.0,0.0,49.984064352905754,769.3838983421774,7.766808134837025,
vehiculo,3,veh0,cluster_307862891_307862894_307862896_307862898,2.4136377547824908,0.0,1.0,125.0266344717093,678.481955428121,4.386779149505309,
semaforo,3,,cluster_1520634082_307862705,,,,,,,0.0
semaforo,3,,cluster_307862891_307862894_307862896_307862898,,,,,,,0.0
semaforo,3,,cluster_3701043284_4151921021,,,,,,,0.0
semaforo,3,,cluster_4152158088_4152159489_9467311858,,,,,,,0.0
vehiculo,4,truck0,cluster_307862891_307862894_307862896_307862898,0.9852054775999957,0.0,0.0,44.007300631794756,762.9701597830726,8.784924862448076,
vehiculo,4,veh0,cluster_307862891_307862894_307862896_307862898,2.9947018922535804,0.0,1.0,118.94357381997862,679.2536696567701,6.1320823597488925,
semaforo,4,,cluster_1520634082_307862705,,,,,,,0.0
semaforo,4,,cluster_307862891_307862894_307862896_307862898,,,,,,,0.0
semaforo,4,,cluster_3701043284_4151921021,,,,,,,0.0
semaforo,4,,cluster_4152158088_4152159489_9467311858,,,,,,,0.0
vehiculo,5,truck0,cluster_307862891_307862894_307862896_307862898,3.1370840657355767,0.0,0.0,40.406173386443115,753.8133905784296,10.00506827586372,
vehiculo,5,veh0,cluster_307862891_307862894_307862896_307862898,3.472333373803367,0.0,1.0,111.3532880361762,680.1634826373542,7.6460553124779835,
semaforo,5,,cluster_1520634082_307862705,,,,,,,0.0
semaforo,5,,cluster_307862891_307862894_307862896_307862898,,,,,,,0.0
semaforo,5,,cluster_3701043284_4151921021,,,,,,,0.0
semaforo,5,,cluster_4152158088_4152159489_9467311858,,,,,,,0.0
vehiculo,6,truck0,cluster_307862891_307862894_307862896_307862898,3.740013561029833,0.0,0.0,39.63129414005203,742.5620143469959,11.27770447782981,
vehiculo,6,veh0,cluster_307862891_307862894_307862896_307862898,3.7959260360287796,0.0,1.0,101.48257798519425,680.9288060806708,9.900764949875883,
semaforo,6,,cluster_1520634082_307862705,,,,,,,0.0
semaforo,6,,cluster_307862891_307862894_307862896_307862898,,,,,,,0.0
semaforo,6,,cluster_3701043284_4151921021,,,,,,,0.0
semaforo,6,,cluster_4152158088_4152159489_9467311858,,,,,,,0.0
vehiculo,7,truck0,cluster_307862891_307862894_307862896_307862898,4.309510075729031,0.0,0.0,38.8904634742015,730.3566457531813,12.22727708646138,
vehiculo,7,veh0,cluster_307862891_307862894_307862896_307862898,3.975335800704169,0.0,1.0,89.50782870141944,681.8572657666891,12.01121068089269,
semaforo,7,,cluster_1520634082_307862705,,,,,,,0.0
