step,delay,waiting_time,stops,queue_length,road_rage
0,0.0,0.0,0.5,0.0,0.020000000000000004
1,0.6501715353766157,0.0,0.5,0.0,0.04600686141506463
2,1.3096487193968716,0.0,0.5,0.0,0.07238594877587487
3,1.3826169411948057,0.0,0.5,0.0,0.07530467764779224
4,1.8517905322585921,0.0,0.5,0.0,0.09407162129034369
5,3.177359461671652,0.0,0.5,0.0,0.14709437846686607
6,3.6613703790007426,0.0,0.5,0.0,0.1664548151600297
7,4.062295372851992,0.0,0.5,0.0,0.18249181491407968
8,4.40631290855909,0.0,0.5,0.0,0.19625251634236363
9,4.824829206475563,0.0,0.5,0.0,0.21299316825902254
10,5.413211509556735,0.0,0.5,0.0,0.23652846038226938
11,4.130557776529241,0.0,0.3333333333333333,0.0,0.178555644394503
12,4.768447350244831,0.0,0.3333333333333333,0.0,0.20407122734312658
13,3.5892027091486067,0.0,0.3333333333333333,0.0,0.1569014416992776
14,4.120508292684483,0.0,0.3333333333333333,0.0,0.17815366504071264
15,4.585747370852229,0.0,0.3333333333333333,0.0,0.19676322816742253
16,4.279538639350012,0.0,0.5,0.0,0.19118154557400047
17,4.953589006507203,0.0,0.5,0.0,0.21814356026028814
18,5.547343648119567,0.0,0.5,0.0,0.2418937459247827
19,6.81120182496797,0.0,0.5,0.0,0.29244807299871883
20,7.255404470677806,0.0,0.5,0.0,0.3102161788271122
21,9.134810806146168,0.0,0.5,0.0,0.3853924322458468
22,7.747500251215115,0.0,0.4,0.0,0.32590001004860464
23,7.796521260022447,0.0,0.4,0.0,0.32786085040089796
24,8.128149924689813,0.0,0.4,0.0,0.3411259969875926
25,9.997403021140455,0.0,0.4,0.0,0.4158961208456182
26,10.377541230728529,0.0,0.4,0.0,0.4311016492291412
27,10.722010989329288,0.0,0.4,0.0,0.4448804395731715
28,11.104505893148053,0.0,0.4,0.0,0.46018023572592215
29,11.136442995158191,0.0,0.4,0.0,0.46145771980632766
30,11.407856385003432,0.0,0.4,0.0,0.47231425540013733
31,12.727724211331273,0.0,0.4,0.0,0.525108968453251
32,9.324874307850882,0.0,0.42857142857142855,0.0,0.39013782945689246
33,9.56818846740432,0.0,0.42857142857142855,0.0,0.39987039583902995
34,9.861595796837873,0.0,0.42857142857142855,0.0,0.4116066890163721
35,10.431017361414263,0.0,0.42857142857142855,0.0,0.43438355159942765
36,10.746557914541183,0.0,0.42857142857142855,0.0,0.4470051737245045
37,11.04286269364655,0.0,0.42857142857142855,0.0,0.4588573648887191
38,11.3122156876699,0.0,0.42857142857142855,0.0,0.46963148464965315
39,11.58278389533127,0.0,0.42857142857142855,0.0,0.48045421295610796
40,11.937852791182094,0.14285714285714285,0.5714285714285714,0.75,0.5182283973615696
41,11.88439897626807,0.2857142857142857,0.5714285714285714,0.5,0.5139473876221513
42,9.529450331997463,0.42857142857142855,0.5714285714285714,0.5,0.42260658470846996
43,9.829601137127064,0.5,0.5,0.5,0.4331840454850826
44,11.079837761322711,0.625,0.5,0.5,0.4856935104529085
45,11.000780401173918,0.75,0.5,0.5,0.48503121604695676
46,12.797785525229939,0.875,0.5,0.5,0.5594114210091976
47,13.756302624835566,1.0,0.5,0.5,0.6002521049934227
48,12.763453960874886,1.0,0.4444444444444444,0.5,0.5583159362127733
49,13.158431016897342,1.1111111111111112,0.4444444444444444,0.5,0.5763372406758938
50,13.522502384755644,1.2222222222222223,0.4444444444444444,0.5,0.593122317612448
51,11.507135287037203,1.3333333333333333,0.4444444444444444,0.5,0.5147298559259326
52,11.85330575211833,1.4444444444444444,0.4444444444444444,0.5,0.5307988967513998
53,11.149473235883343,1.4,0.4,0.5,0.49997892943533373
54,8.66173422148283,1.5,0.4,0.5,0.4024693688593133
55,9.07346246224449,1.6,0.4,0.5,0.4209384984897797
56,11.86841543714834,1.7,0.4,0.5,0.5347366174859336
57,12.48040048511454,1.9,0.5,1.25,0.5822160194045817
58,12.951698120569002,2.1,0.5,1.25,0.6050679248227602
59,16.115813818676827,2.3,0.5,1.25,0.7356325527470732
60,16.64371179773152,0.0,0.5,0.0,0.6857484719092608
61,17.039319369935704,0.0,0.5,0.0,0.7015727747974282
62,19.334514149304862,0.0,0.5,0.0,0.7933805659721945
63,19.747113292058152,0.0,0.5,0.0,0.8098845316823261
64,16.885572324592378,0.0,0.5454545454545454,0.0,0.697241074801877
65,17.23241138752601,0.0,0.5454545454545454,0.0,0.7111146373192223
66,19.082493352837176,0.0,0.5454545454545454,0.0,0.7851179159316689
67,19.415155587771892,0.0,0.5454545454545454,0.0,0.7984244053290576
68,19.722346965880423,0.0,0.5454545454545454,0.0,0.8107120604533987
69,20.020595451168006,0.0,0.5454545454545454,0.0,0.8226419998649022
70,19.68191500215107,0.0,0.5454545454545454,0.0,0.8090947819042247
71,20.628258881378187,0.0,0.5454545454545454,0.0,0.8469485370733093
72,20.884105317242,0.0,0.5454545454545454,0.0,0.8571823945078618
73,21.11917058051834,0.0,0.5454545454545454,0.0,0.8665850050389156
74,19.5658981303496,0.08333333333333333,0.5833333333333334,0.5,0.8176359252139841
75,19.81336558490244,0.16666666666666666,0.5833333333333334,0.5,0.8292012900627642
76,19.613680184316106,0.25,0.5833333333333334,0.5,0.8228805407059776
77,19.475294540273833,0.3333333333333333,0.5833333333333334,0.5,0.8190117816109534
78,21.6535308738125,0.4166666666666667,0.5833333333333334,0.5,0.9078079016191666
79,22.435083263095805,0.5,0.5833333333333334,0.5,0.9407366638571656
80,18.067316836312035,0.5384615384615384,0.5384615384615384,0.5,0.7650003657601737
