semaforo_id,delay,waiting_time,stops,flujo_vehicular,flujo_por_segundo,queue_length
1706781814,41.743083160182124,0.4470588235294118,1.2352941176470589,340,1.7,0.425
309456039,34.947109307286944,0.028037383177570093,1.3271028037383177,214,1.07,0.0
309520858,46.38432513862847,7.52855245683931,1.6653386454183268,753,3.765,2.22
309554150,13.189824725931759,0.47368421052631576,1.0315789473684212,95,0.475,0.135
3413027449,35.55450073688318,0.0,2.2777777777777777,108,0.54,0.0
4121911213,98.07303158632696,0.15384615384615385,2.7435897435897436,39,0.195,0.015
GS_cluster_1871526597_309540987,19.605300935146825,0.34615384615384615,1.0192307692307692,104,0.52,0.16
GS_cluster_1871526621_309541037,16.868625134389482,0.4214046822742475,1.3478260869565217,299,1.495,0.43
GS_cluster_309541231_309541236,13.893901238768402,0.5851063829787234,0.725531914893617,470,2.35,0.71
GS_cluster_4124177709_4124177710,32.857749745399175,0.6757281553398058,1.258252427184466,515,2.575,0.7
cluster_11612234622_11920224074_309481227_4121496204,38.24856744678329,6.39106901217862,1.415426251691475,739,3.695,3.775
cluster_1868729103_309497175_309497179,31.723836357324547,0.3554817275747508,1.5980066445182723,301,1.505,0.22
cluster_1871526583_309520899,19.75881735001056,0.60546875,1.3125,256,1.28,0.38
cluster_1871526593_309440289,44.305657536538675,0.5914396887159533,1.754863813229572,257,1.285,0.355
cluster_1871526608_309520710,23.480857915760033,0.6372950819672131,1.1270491803278688,488,2.44,0.56
cluster_1871526612_309195377_309195395_309195397,31.057807491026228,0.4860813704496788,1.430406852248394,467,2.335,0.37
cluster_1871526625_309497170,39.29125968916985,3.836842105263158,1.8192982456140352,570,2.85,1.75
cluster_2991453444_309520859,43.91330412455254,0.7774936061381074,1.8363171355498722,391,1.955,0.545
cluster_308848908_308848911,20.988889210612747,0.0020876826722338203,0.6784968684759917,479,2.395,0.0
cluster_308848959_308848960,29.3682022780309,1.230958230958231,0.8353808353808354,407,2.035,0.425
cluster_308855797_308855800,31.681581513832484,0.6010928961748634,1.5491803278688525,366,1.83,0.25
cluster_308858575_308858577_6427986507_6427986508,20.627337357697332,0.77728285077951,1.289532293986637,449,2.245,0.615
cluster_308908279_4100826965,29.86103020543887,0.5570469798657718,1.3758389261744965,149,0.745,0.185
cluster_309195406_309195410_309195412_309195414,30.378465384989976,1.4057724957555178,1.2478777589134125,589,2.945,1.18
cluster_309197943_309197944_938878877_938878878,24.33567488064259,1.9420062695924765,1.030564263322884,1276,6.38,1.91
cluster_309248859_309248860,29.939500653204735,0.0,1.375,8,0.04,0.0
cluster_309248963_309248965,4.753111832347398,0.034482758620689655,0.6206896551724138,29,0.145,0.01
cluster_309440717_309440722_309440724_309440726,32.28766246548311,0.4261992619926199,1.511070110701107,542,2.71,0.42
cluster_309456058_309456068_309456081_309456085,28.608006267440857,2.7626628075253254,0.8929088277858177,691,3.455,1.47
cluster_309481112_309481115,27.210135032567816,0.46134347275031684,0.8365019011406845,789,3.945,0.65
cluster_309497184_309497187,59.29700453606743,0.3386243386243386,2.0,189,0.945,0.115
cluster_309497300_309497301,47.28890739266812,1.30622009569378,2.1770334928229667,209,1.045,0.435
cluster_309520712_309520713,34.02146190417442,0.39662447257383965,1.890295358649789,237,1.185,0.175
cluster_309520714_309520715,28.238265295117845,0.6037037037037037,1.2425925925925927,540,2.7,0.68
cluster_309520860_309520861,38.16826152583824,0.7054908485856906,1.7054908485856906,601,3.005,0.81
cluster_309520862_309520863,18.857497190708006,0.7395957193816884,0.9096313912009513,841,4.205,1.025
cluster_309520901_309520902,39.32907703199054,0.41237113402061853,1.615979381443299,388,1.94,0.295
cluster_309540905_309540918,23.100766611234064,0.19078947368421054,1.4605263157894737,152,0.76,0.07
cluster_309541225_4124177708,36.34476559702777,0.09578544061302682,1.6091954022988506,261,1.305,0.065
cluster_309541408_309541411,14.264268032861509,0.4921259842519685,0.8346456692913385,508,2.54,0.56
cluster_309559013_7006592113_7657209820,13.952074547052458,0.21686746987951808,1.0180722891566265,166,0.83,0.205
cluster_309559016_309559017,20.945978063779734,0.8686131386861314,1.7080291970802919,137,0.685,0.425
cluster_309559018_309559019,32.19157510636546,2.1621621621621623,1.9639639639639639,111,0.555,0.235
cluster_309559020_309559021,9.101704674943452,0.03271028037383177,0.7570093457943925,214,1.07,0.06
cluster_309720129_309720130_7006592110,8.055090167133478,1.744186046511628,0.43023255813953487,172,0.86,0.36
cluster_310265753_4121438078,31.736982800960885,0.07692307692307693,1.5961538461538463,364,1.82,0.1
cluster_310265755_310265756,41.151826055001166,0.47619047619047616,1.7341269841269842,252,1.26,0.36
cluster_310265757_310265758,40.0949579213527,0.2994652406417112,1.6149732620320856,187,0.935,0.11
cluster_4121496202_4121496203,32.35050174505225,0.3568627450980392,1.5019607843137255,255,1.275,0.075
cluster_4124145820_4124145821,28.456116842113996,0.13453815261044177,1.108433734939759,498,2.49,0.21
cluster_938672795_938672853,5.355404132241455,0.0,0.67,100,0.5,0.0
joinedS_cluster_1871494011_309189929_cluster_309189684_309189926,19.847441249274823,0.4108527131782946,1.0387596899224807,258,1.29,0.14
joinedS_cluster_308856407_308856410_cluster_308856411_308856412,15.488223042520449,0.8110403397027601,0.8641188959660298,471,2.355,0.695
