semaforo_id,delay,waiting_time,stops,flujo_vehicular,flujo_por_segundo,queue_length,delay_norm,waiting_time_norm,stops_norm,flujo_vehicular_norm,flujo_por_segundo_norm,queue_length_norm,road_rage
1706781814,46.81402857457466,0.29334990677439404,1.8669981354878806,1609,2.01125,0.28875,0.2867409920723465,0.05011251093198323,0.28726749772088805,0.21509777171441563,0.21509777171441563,0.03421996413628213,1.0
309456039,62.75414239327432,1.6302552552552552,2.6996996996997,2664,3.33,0.6675,0.5344234475326572,0.28461171851623884,0.6946685932290348,0.3750189480066697,0.37501894800666974,0.0794979079497908,1.0
309520858,56.34059941090865,4.218691588785047,2.2267289719626167,5350,6.6875,2.31125,0.4347678182102966,0.7386350865764808,0.4632666109284975,0.7821737153251478,0.7821737153251478,0.27600119545726237,1.0
309554150,41.062908390000686,2.898978433598184,2.4460839954597047,881,1.10125,0.66375,0.1973782945932617,0.5071514669758166,0.5705865448864894,0.10474458087009246,0.10474458087009247,0.07904961147638971,1.0
3413027449,67.3094407116551,2.7586206896551726,3.056839712012126,2639,3.29875,0.88375,0.6052050922362969,0.4825320877726813,0.8694001399430072,0.37122934667273005,0.37122934667273005,0.10534967124925285,1.0
4121911213,92.71727895801357,0.06239460370994941,3.3237774030354132,1186,1.4825,0.0275,1.0,0.009601912618097294,1.0,0.15097771714415645,0.15097771714415642,0.002988643156007173,1.0
GS_cluster_1871526597_309540987,42.23903399076107,0.8683351468988031,2.176278563656148,919,1.14875,0.5475,0.21565330065904834,0.1509675066390687,0.4385836362635666,0.11050477489768076,0.11050477489768075,0.06515242080095637,1.0
GS_cluster_1871526621_309541037,33.95963251998677,0.5940074906367041,1.8187265917602997,1335,1.66875,0.46625,0.08700538074159984,0.1028492026132776,0.26365053740557953,0.17356374109443687,0.17356374109443687,0.05543933054393305,1.0
GS_cluster_309541231_309541236,32.91121580256487,0.7516339869281046,2.0019892014776923,3519,4.39875,1.3975,0.07071475509926183,0.13049759860228144,0.3533121775097593,0.5046233136274064,0.5046233136274064,0.16676628810520025,1.0
GS_cluster_4124177709_4124177710,61.03592754694019,0.8322635857937527,2.4274711168164314,2337,2.92125,0.8425,0.5077252898539365,0.14464039267765538,0.5614801525417035,0.32545096255873884,0.32545096255873884,0.10041841004184102,1.0
cluster_11612234622_11920224074_309481227_4121496204,85.414568895806,5.708761232349166,3.1986521181001284,6232,7.79,8.3675,0.8865282155262653,1.0,0.9387821755725235,0.9158708503865394,0.9158708503865394,1.0,1.0
cluster_1868729103_309497175_309497179,65.991703254382,1.0815407703851927,2.8846923461730865,3998,4.9975,1.77875,0.584729677017709,0.18836473136920914,0.7851766576705203,0.5772320751856904,0.5772320751856904,0.21234309623430964,1.0
cluster_1871526583_309520899,37.882071358394434,0.8306613226452906,2.034569138276553,1996,2.495,0.7975,0.14795345764616943,0.144359348519157,0.3692519841750747,0.27376080036380174,0.2737608003638018,0.09503885236102809,1.0
cluster_1871526593_309440289,60.98231368579465,1.4007003501750876,2.3876938469234616,1999,2.49875,0.82125,0.5068922209733583,0.24434675630365857,0.5420190346247965,0.2742155525238745,0.2742155525238745,0.09787806335923492,1.0
cluster_1871526608_309520710,45.34955824576414,0.5868702290076336,2.0,3275,4.09375,0.76375,0.26398559577379316,0.10159729484116765,0.35233895625495676,0.4676368046081552,0.46763680460815527,0.09100418410041843,1.0
cluster_1871526612_309195377_309195395_309195397,49.180304419976906,0.6967886482449589,2.0786656708986806,4017,5.02125,1.13,0.32350892349063437,0.12087747966454057,0.3908263110053238,0.5801121721994846,0.5801121721994846,0.1347878063359235,1.0
cluster_1871526625_309497170,68.86183260553747,4.728146723857417,2.7670462949267858,6761,8.45125,7.01875,0.6293266412093289,0.827995807296128,0.7276180649887386,0.9960588146127027,0.9960588146127026,0.8387627017334129,1.0
cluster_2991453444_309520859,59.57656274617622,1.0169791298195967,2.6176158471878317,2827,3.53375,1.06625,0.485049224841055,0.1770403294059923,0.6545088855088778,0.39972714870395637,0.39972714870395637,0.1271667662881052,1.0
cluster_308848908_308848911,47.02892042503807,0.04710446106954835,2.036852313660294,3609,4.51125,0.02875,0.29008004860522707,0.006919952868965799,0.3703690328183706,0.5182658784295892,0.5182658784295893,0.0031380753138075318,1.0
cluster_308848959_308848960,49.64587664799732,0.9362790697674419,2.1586046511627908,2150,2.6875,0.44625,0.3307431298420938,0.16288517612177827,0.42993663519959696,0.2971047445808701,0.2971047445808701,0.05304841601912731,1.0
cluster_308855797_308855800,44.25812293578006,0.7101687937422808,1.8884314532729518,2429,3.03625,0.5125,0.2470265338356146,0.12322441732923714,0.29775379619959613,0.3393966954676368,0.33939669546763684,0.06096832038254632,1.0
cluster_308858575_308858577_6427986507_6427986508,33.64094265933246,0.3807544757033248,1.6793478260869565,3128,3.91,0.6675,0.08205347838287484,0.06544366521030807,0.19545916577096464,0.44535394876458995,0.44535394876459,0.0794979079497908,1.0
cluster_308908279_4100826965,37.391786764810206,0.3090472377902322,1.6493194555644515,1249,1.56125,0.2025,0.1403352628581972,0.05286589335249982,0.18076771859111862,0.1605275125056844,0.1605275125056844,0.023909145248057383,1.0
cluster_309195406_309195410_309195412_309195414,46.795488507262405,1.0923076923076922,2.0025174825174825,3575,4.46875,1.76625,0.2864529107293569,0.1902532978723028,0.35357064018546047,0.5131120206154313,0.5131120206154313,0.21084877465630605,1.0
cluster_309197943_309197944_938878877_938878878,45.732016138537304,1.5700604096066009,1.8304110800058937,6787,8.48375,2.0225,0.26992834568572327,0.27405327201042917,0.2693671993121929,1.0,1.0,0.24148236700537956,1.0
cluster_309248859_309248860,33.08623126570367,1.6894736842105262,1.8210526315789475,190,0.2375,0.1425,0.07343419990039546,0.29499889714498406,0.26478855756915354,0.0,0.0,0.016736401673640166,1.0
cluster_309248963_309248965,34.056362398803245,2.7451923076923075,1.9182692307692308,416,0.52,0.32625,0.0885083997397162,0.480176689215103,0.31235199531672936,0.03425799605881461,0.03425799605881462,0.038702928870292884,1.0
cluster_309440717_309440722_309440724_309440726,51.05641462176257,0.580234015879649,2.295027162557459,4786,5.9825,1.34125,0.3526605084026121,0.10043327322838785,0.49668165284198323,0.6966803092314688,0.6966803092314688,0.16004184100418412,1.0
