semaforo_id,delay,waiting_time,stops,flujo_vehicular,flujo_por_segundo,queue_length,delay_norm,waiting_time_norm,stops_norm,flujo_vehicular_norm,flujo_por_segundo_norm,queue_length_norm,road_rage
1706781814,57.721123314995346,2.337940896091516,2.0433746425166825,2098,2.6225,1.3,0.4051260756721503,0.3150502509040298,0.25349530530550635,0.27630057803468205,0.2763005780346821,0.11668349601705374,1.0
309456039,67.17674307107946,3.5178335535006604,2.7249009247027742,3028,3.785,1.19875,0.5295943047806426,0.4740472034694307,0.5658421834524177,0.4106936416184971,0.41069364161849714,0.10759564680803321,1.0
309520858,65.3867541673045,7.420850767085077,2.317294281729428,5736,7.17,3.7875,0.5060319413688351,1.0,0.3790340356634761,0.8020231213872833,0.8020231213872832,0.3399528778189162,1.0
309554150,26.944449200901715,1.223901098901099,2.0631868131868134,728,0.91,0.36,0.0,0.16492732940132274,0.2625753214690495,0.07832369942196532,0.07832369942196532,0.032312352743184114,1.0
3413027449,53.862771305247506,0.07921318447634237,2.5178096757044126,1881,2.35125,0.04,0.3543369942244219,0.010674407418040216,0.4709312360584318,0.24494219653179192,0.2449421965317919,0.003590261415909346,1.0
4121911213,102.91258841048388,0.022462562396006656,3.672212978369384,1202,1.5025,0.015,1.0,0.0030269524480452514,1.0,0.14682080924855492,0.1468208092485549,0.0013463480309660047,1.0
GS_cluster_1871526597_309540987,48.20530261263828,0.6906832298136646,2.3391304347826085,805,1.00625,0.39,0.279865396637948,0.09307332157616831,0.3890416529999953,0.08945086705202313,0.08945086705202313,0.035005048805116123,1.0
GS_cluster_1871526621_309541037,38.87637614120972,0.6326383896477354,1.9410496046010064,1391,1.73875,0.54125,0.15706488357428375,0.08525146368038834,0.20659923249859027,0.17413294797687862,0.17413294797687862,0.04858072478402334,1.0
GS_cluster_309541231_309541236,32.71449081342035,0.6062161391502708,2.060165383518677,3507,4.38375,1.1975,0.07595344143681268,0.08169092172546054,0.26119058525410005,0.47991329479768785,0.47991329479768785,0.10748345113878605,1.0
GS_cluster_4124177709_4124177710,56.82053949207057,0.5602564102564103,2.2384615384615385,2340,2.925,0.71,0.39327131876622917,0.07549759829983482,0.3429045981067908,0.31127167630057806,0.311271676300578,0.06372714013239089,1.0
cluster_11612234622_11920224074_309481227_4121496204,97.4685100658571,7.049113425274416,3.6685899240078808,7106,8.8825,11.14125,0.9283373477187908,0.9499063714554821,0.9983395362016821,1.0,1.0,1.0,1.0
cluster_1868729103_309497175_309497179,61.59511591386117,1.1448525607863425,2.5434557682359027,3866,4.8325,1.56875,0.45612104065580206,0.15427510897595406,0.48268496756997825,0.5317919075144508,0.5317919075144508,0.14080556490519466,1.0
cluster_1871526583_309520899,40.30521948480751,0.8266606005459509,2.0395814376706096,2198,2.7475,0.88,0.1758733387828005,0.11139701181063699,0.2517568606955021,0.2907514450867052,0.2907514450867052,0.07898575115000561,1.0
cluster_1871526593_309440289,64.35602698423486,0.902540176257128,2.6635562467599794,1929,2.41125,0.535,0.4924640536491418,0.1216221973173633,0.5377276130430438,0.251878612716763,0.251878612716763,0.04801974643778751,1.0
cluster_1871526608_309520710,45.78178126023827,0.6239370078740157,2.06740157480315,3175,3.96875,0.85875,0.24796358388307774,0.08407890516293177,0.26450696763942655,0.4319364161849711,0.4319364161849711,0.07707842477280377,1.0
cluster_1871526612_309195377_309195395_309195397,53.029812327802006,0.9768385864374403,2.0890639923591214,4188,5.235,1.30625,0.34337241109638816,0.13163431216945817,0.2744349611351713,0.5783236994219653,0.5783236994219654,0.11724447436328958,1.0
cluster_1871526625_309497170,72.01073936039822,4.235457491127912,2.8782595278506404,6481,8.10125,6.27875,0.5932261949337323,0.570750931943563,0.6361271925302153,0.9096820809248555,0.9096820809248555,0.5635588466285202,1.0
cluster_2991453444_309520859,62.009913161106695,1.0470974808324205,2.6403797006206644,2739,3.42375,1.04375,0.46158118818029487,0.14110208030011662,0.5271056869015862,0.3689306358381503,0.3689306358381503,0.0936833838213845,1.0
cluster_308848908_308848911,48.75385751327781,0.030123873873873875,2.14527027027027,3552,4.44,0.02125,0.28708625141137045,0.004059355836595887,0.3001945773035927,0.4864161849710983,0.4864161849710983,0.0019073263772018403,1.0
cluster_308848959_308848960,54.58616951215135,1.026100307062436,2.3915046059365404,1954,2.4425,0.3925,0.36385938366860876,0.13827259693910943,0.41304499561943053,0.25549132947976877,0.25549132947976877,0.03522944014361046,1.0
cluster_308855797_308855800,52.43070479042373,0.8636178031849735,2.15761535320539,2449,3.06125,0.565,0.3354861110815168,0.11637719586216717,0.3058523900923834,0.32702312138728323,0.32702312138728323,0.050712442499719505,1.0
cluster_308858575_308858577_6427986507_6427986508,37.45604146229486,0.4114906832298137,1.8341614906832298,3220,4.025,0.79875,0.13836843143404623,0.05545060750378732,0.15761187930930734,0.4384393063583815,0.4384393063583815,0.07169303264893975,1.0
cluster_308908279_4100826965,37.50411355422469,0.7173750932140194,1.6465324384787472,1341,1.67625,0.425,0.13900122423942485,0.09667019533608079,0.07162055331414681,0.16690751445086704,0.16690751445086704,0.0381465275440368,1.0
cluster_309195406_309195410_309195412_309195414,51.89220287572448,1.4430871737923376,2.0502498611882287,3602,4.5025,1.7925,0.32839758791506646,0.19446384506114853,0.2566462521505004,0.4936416184971098,0.49364161849710986,0.16088858970043757,1.0
cluster_309197943_309197944_938878877_938878878,48.122679950845864,1.6303663423010877,1.8916714367487122,6988,8.735,2.28125,0.27877780040810657,0.21970073155661887,0.18396897306412435,0.9829479768786127,0.9829479768786126,0.2047570963760799,1.0
cluster_309248859_309248860,33.80039830194607,1.2258064516129032,1.8763440860215055,186,0.2325,0.11375,0.09024769031304092,0.16518408604171433,0.1769443721425731,0.0,0.0,0.010209805901492203,1.0
cluster_309248963_309248965,41.4955529403413,2.3176470588235296,2.320588235294118,340,0.425,0.2275,0.19154218980269816,0.31231554596184197,0.3805436709329943,0.022254335260115606,0.022254335260115603,0.020419611802984405,1.0
cluster_309440717_309440722_309440724_309440726,53.13747616594947,0.8264446227929374,2.3808186195826644,4984,6.23,1.65625,0.3447896346754789,0.11136790763379902,0.40814755502939576,0.6933526011560693,0.6933526011560694,0.14865926175249636,1.0
cluster_309456058_309456068_309456081_309456085,56.140824422905496,2.8659209075153615,2.2018276351031982,6347,7.93375,4.335,0.3843239485102608,0.386198428922335,0.32611509835102226,0.8903179190751445,0.8903179190751445,0.3890945809491754,1.0
cluster_309481112_309481115,54.95157219648563,0.5471914405808177,2.00095529231945,5234,6.5425,1.0475,0.36866933015586173,0.0737370225807351,0.23405430654515566,0.7294797687861272,0.7294797687861272,0.09401997082912601,1.0
cluster_309497184_309497187,79.9289566481809,1.835150313842088,3.213082259663033,3027,3.78375,1.88,0.6974569602278219,0.24729648546253385,0.7895781125428134,0.4105491329479769,0.41054913294797685,0.16874228654773926,1.0
cluster_309497300_309497301,54.14802715590003,1.610412401286926,2.412693770108219,3419,4.27375,1.8875,0.35809193483005597,0.21701182948319803,0.42275609473997633,0.4671965317919075,0.46719653179190745,0.16941546056322226,1.0
cluster_309520712_309520713,56.51487477200742,0.8801049082053204,2.3465717497189957,2669,3.33625,0.69875,0.3892477277813311,0.11859892293064224,0.39245204457320526,0.3588150289017341,0.3588150289017341,0.06271737910916639,1.0
cluster_309520714_309520715,46.12438984550369,0.8874486247233639,2.0600695542206764,3163,3.95375,1.00625,0.2524734822277013,0.11958852867108057,0.2611466662111404,0.43020231213872834,0.4302023121387283,0.0903175137439695,1.0
cluster_309520860_309520861,52.53077083106384,0.9710703953712633,1.9961427193828352,3111,3.88875,1.21125,0.33680332171325345,0.13085701705233205,0.23184868047922583,0.4226878612716763,0.4226878612716763,0.10871760350050488,1.0
cluster_309520862_309520863,41.42249210224531,0.6546778966537674,1.7216025495105851,4393,5.49125,1.0575,0.19058045980830632,0.08822140711379997,0.10602555783975966,0.6079479768786127,0.6079479768786127,0.09491753618310335,1.0
cluster_309520901_309520902,62.69312108120907,0.44871794871794873,2.4367521367521365,2340,2.925,0.53875,0.47057453627610024,0.06046718399300272,0.43378216359595273,0.31127167630057806,0.311271676300578,0.048356333445529004,1.0
cluster_309540905_309540918,45.35619056705511,0.26881720430107525,2.1043010752688174,930,1.1625,0.12625,0.2423613577707725,0.036224580272305774,0.28141819186787786,0.10751445086705202,0.10751445086705202,0.011331762593963873,1.0
cluster_309541225_4124177708,56.769473039896766,0.054140127388535034,2.436942675159236,1570,1.9625,0.08375,0.3925991099599436,0.007295676612804514,0.43386948829373784,0.2,0.19999999999999998,0.007517109839560194,1.0
cluster_309541408_309541411,34.10290343183094,0.45505171042163883,1.5159108989657917,2514,3.1425,0.5725,0.09422969030714785,0.06132069282945356,0.011756053364495853,0.33641618497109826,0.33641618497109826,0.051385616515202515,1.0
cluster_309559013_7006592113_7657209820,49.07973593640157,0.41660377358490563,2.332075471698113,1325,1.65625,0.55875,0.2913759237202409,0.05613962423725553,0.3858083283983153,0.16459537572254335,0.16459537572254335,0.05015146415348368,1.0
cluster_309559016_309559017,49.868222314128886,0.892802450229709,2.281010719754977,1306,1.6325,0.73875,0.3017550956458824,0.12030998577544545,0.36240509910299984,0.16184971098265896,0.16184971098265896,0.06630764052507573,1.0
cluster_309559018_309559019,67.31882469994228,1.6670506912442395,2.9711981566820276,1736,2.17,0.8025,0.5314645839574281,0.22464414708868483,0.6787214274607061,0.2239884393063584,0.22398843930635837,0.07202961965668125,1.0
cluster_309559020_309559021,31.28565513828192,1.350696991929567,1.7945707997065297,1363,1.70375,1.17375,0.05714508717139451,0.18201376558069812,0.13946726911087803,0.17008670520231214,0.17008670520231214,0.10535173342308989,1.0
cluster_309720129_309720130_7006592110,33.77923861825413,2.3923647932131495,1.6187698833510074,1886,2.3575,1.63125,0.08996915665521947,0.32238416703168316,0.05889683648885306,0.24566473988439305,0.24566473988439305,0.14641534836755302,1.0
cluster_310265753_4121438078,52.16873894709033,0.07913279132791327,2.58970189701897,1845,2.30625,0.125,0.33203774646367773,0.010663574004062175,0.5038797979519222,0.2397398843930636,0.23973988439306357,0.011219566924716706,1.0
cluster_310265755_310265756,58.381456387858066,0.555682467161622,2.2301541976013706,1751,2.18875,0.53125,0.41381831270379565,0.07488123459190582,0.3390973025538554,0.22615606936416185,0.22615606936416188,0.047683159430046,1.0
cluster_310265757_310265758,51.42082209949096,0.5137573297248534,2.4573748308525034,2217,2.77125,0.7,0.3221926080229953,0.06923159430770472,0.4432336466709216,0.2934971098265896,0.2934971098265896,0.06282957477841355,1.0
cluster_4121496202_4121496203,59.334029254498006,0.5506216696269982,2.5830373001776197,2252,2.815,0.47,0.4263574228695977,0.07419926460039612,0.5008253801372103,0.29855491329479766,0.29855491329479766,0.042185571636934815,1.0
cluster_4124145820_4124145821,61.64367226175532,0.36735545815069925,2.541223126695888,4791,5.98875,1.18625,0.4567602079224925,0.04950314588996878,0.481661736869604,0.6654624277456648,0.6654624277456647,0.10647369011556154,1.0
cluster_938672795_938672853,37.511627217687916,0.0,2.033205619412516,783,0.97875,0.0,0.13910012969559904,0.0,0.2488347915389618,0.08627167630057804,0.08627167630057803,0.0,1.0
joinedS_cluster_1871494011_309189929_cluster_309189684_309189926,33.570376670590136,0.6152597402597403,1.4902597402597402,1232,1.54,0.14375,0.08721982055409705,0.08290959615960791,0.0,0.15115606936416184,0.15115606936416184,0.012902501963424212,1.0
joinedS_cluster_308856407_308856410_cluster_308856411_308856412,53.95316728543098,1.3754053379895235,2.288101771015216,4009,5.01125,1.59125,0.35552691385551993,0.18534334959140877,0.36565496309476075,0.5524566473988439,0.5524566473988439,0.14282508695164367,1.0
