semaforo_id,delay,waiting_time,stops,flujo_vehicular,flujo_por_segundo,queue_length
1462970251,37.86429368844246,3.838951310861423,1.8913857677902621,267,1.335,0.405
308689405,55.46574215498192,0.0,1.9285714285714286,112,0.56,0.0
308757397,19.714312197429578,0.0,0.9411764705882353,204,1.02,0.005
308827770,14.318621184879982,0.0,0.6796875,512,2.56,0.0
308856103,42.15012752493386,0.7243401759530792,1.8885630498533725,341,1.705,0.3
308856146,33.125974144315926,0.9621212121212122,1.5492424242424243,264,1.32,0.36
308898675,46.47095078654369,4.509677419354839,2.009677419354839,310,1.55,0.89
308923801,23.733244425643697,0.0,0.969,1000,5.0,0.0
4088546946,17.273839199098592,0.14842105263157895,0.7021052631578948,950,4.75,0.125
4097839613,46.42039954101158,6.6016260162601625,1.6544715447154472,246,1.23,1.13
4697738917,34.027512623984855,6.218867924528302,1.2328840970350405,1855,9.275,3.31
4697750732,29.96874238622146,0.7362784471218207,1.5863453815261044,747,3.735,0.315
cluster_1462970241_308898721,19.23847696386251,0.08333333333333333,1.1333333333333333,420,2.1,0.05
cluster_1462970269_1462970271_308797939,34.209018367992336,1.1818181818181819,1.8397129186602872,418,2.09,0.8
cluster_1462970291_308954059,17.069291635337375,0.7682926829268293,0.8082926829268293,2050,10.25,1.075
cluster_308742453_308742454,37.592695367235535,2.529816513761468,1.488532110091743,1308,6.54,3.035
cluster_308757358_308757361,31.94421733716576,0.6244665718349929,1.240398293029872,703,3.515,0.915
cluster_308757386_308757389_308757392_308757394,36.74281917765719,1.2897350993377483,1.314569536423841,604,3.02,1.98
cluster_308757402_4097570238,21.081338797922754,0.8462321792260692,0.905295315682281,982,4.91,0.69
cluster_308799313_4090658064,46.519904545343955,1.3559027777777777,1.9913194444444444,576,2.88,0.95
cluster_308804097_308804101,36.88540450121998,2.1506849315068495,1.8331257783312578,803,4.015,1.9
cluster_308834900_4738449064,20.28804401464363,0.17881944444444445,1.1276041666666667,1152,5.76,0.59
cluster_308856152_9198534518,33.03829071368301,0.211864406779661,1.4830508474576272,236,1.18,0.055
cluster_308858575_308858577_6427986507_6427986508,11.746290109020213,0.0,0.8372093023255814,387,1.935,0.0
cluster_308858579_308898722,12.069356111416395,0.6387362637362637,0.9381868131868132,728,3.64,0.45
cluster_4090658066_4090658067,51.66376298702119,1.2249134948096885,2.273356401384083,578,2.89,0.56
joinedS_1462970246_1462970247,16.133338643896103,0.3247011952191235,1.2231075697211156,502,2.51,0.32
joinedS_1462970259_308819290,46.69444248570403,4.139275766016713,1.8050139275766017,359,1.795,0.59
